节点名,父节点,类型,组件,资源,备注,pos_x,pos_y,width,height,anchor_x,anchor_y,opacity,visible,scale_x,scale_y,rotation,layout,padding,spacing,font_size,color,align,overflow,line_height,size_mode,trim,transition,zoom_scale,target,default_clip,play_on_load,default_skin,default_anim,loop,premultiplied_alpha,AI_Image_Prompt_Element_Specific
TaskDetailModal,,Node,,,任务详情弹窗根节点,0,0,750,1334,0.5,0.5,200,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
ModalMask,TaskDetailModal,Sprite,,modal_mask.png,弹窗遮罩,0,0,750,1334,0.5,0.5,150,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A semi-transparent dark overlay with subtle ink wash texture. The overlay has a very light bamboo pattern watermark. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ModalContainer,TaskDetailModal,Node,,,弹窗容器,0,0,650,900,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
ModalBackground,ModalContainer,Sprite,,modal_bg.png,弹窗背景,0,0,650,900,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A traditional Chinese window lattice style modal background. The background has an elegant rice paper texture with decorative wooden frame featuring traditional patterns. The frame has subtle shadows and depth effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ModalHeader,ModalContainer,Node,,,弹窗头部,0,400,600,100,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
HeaderDecorLeft,ModalHeader,Sprite,,header_decor_left.png,头部装饰左,-250,0,100,80,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A decorative element in Chinese ink painting style for the left side of the header. The element features cloud or floral patterns with flowing brush strokes. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
HeaderTitle,ModalHeader,Label,,,标题文本,0,0,400,80,0.5,0.5,255,true,1,1,0,,,,32,#1A5F4A,center,none,36,,,,,,,,,,,"A horizontal ink stroke suggesting a title text, with varying thickness to create a natural handwritten appearance. The stroke has subtle ink wash effects and uses calligraphy-inspired styling. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
HeaderDecorRight,ModalHeader,Sprite,,header_decor_right.png,头部装饰右,250,0,100,80,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A decorative element in Chinese ink painting style for the right side of the header. The element features cloud or floral patterns with flowing brush strokes. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
CloseButton,ModalHeader,Button,Button,close_btn.png,关闭按钮,280,0,60,60,0.5,0.5,255,true,1,1,0,,,,,,,,,,,scale,1.1,CloseButton,,,,,,,"A circular close button in Chinese ink painting style. The button features an elegant 'X' design with flowing brush strokes on a subtle jade green background. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ModalContent,ModalContainer,Node,,,弹窗内容,0,0,600,700,0.5,0.5,255,true,1,1,0,vertical,20,30,,,,,,,,,,,,,,,,,"N/A"
TaskIconLarge,ModalContent,Sprite,,task_icon_large.png,任务大图标,0,300,120,120,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A large detailed task icon in Chinese ink painting style. The icon depicts the specific task type (meditation, water, etc.) with elaborate brush strokes and subtle color effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
DescriptionSection,ModalContent,Node,,,描述区域,0,200,550,200,0.5,0.5,255,true,1,1,0,vertical,10,20,,,,,,,,,,,,,,,,,"N/A"
