节点名,父节点,类型,组件,资源,备注,pos_x,pos_y,width,height,anchor_x,anchor_y,opacity,visible,scale_x,scale_y,rotation,layout,padding,spacing,font_size,color,align,overflow,line_height,size_mode,trim,transition,zoom_scale,target,default_clip,play_on_load,default_skin,default_anim,loop,premultiplied_alpha,AI_Image_Prompt_Element_Specific
OnboardingScreen,,Node,,,引导页根节点,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
OnboardingBackground,OnboardingScreen,Sprite,,onboarding_bg.png,引导页背景,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A dynamic bamboo forest background in traditional Chinese water ink style with subtle animation elements. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
OnboardingContent,OnboardingScreen,Node,,,引导页内容容器,0,100,700,900,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
OnboardingImage1,OnboardingContent,Sprite,,onboarding_img1.png,概念引入插画,0,0,600,500,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A large water ink style panda illustration with dynamic bamboo forest background. The panda appears welcoming and friendly. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
OnboardingTextArea1,OnboardingContent,Node,,,文本区域1,0,-300,600,200,0.5,0.5,255,true,1,1,0,vertical,10,10,,,,,,,,,,,,,,,,,"N/A"
OnboardingTitle1,OnboardingTextArea1,Label,,,标题1,0,0,600,80,0.5,0.5,255,true,1,1,0,,,,32,#1A5F4A,center,none,36,,,,,,,,,,,"An elegant horizontal ink stroke suggesting a title area, with decorative flourishes on both sides. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
OnboardingDesc1,OnboardingTextArea1,Label,,,描述1,0,-100,600,120,0.5,0.5,255,true,1,1,0,,,,24,#333333,center,none,28,,,,,,,,,,,"Several horizontal ink strokes suggesting paragraph text, with varying lengths and subtle ink diffusion effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."

OnboardingImage2,OnboardingContent,Sprite,,onboarding_img2.png,习惯养成插画,0,0,600,500,0.5,0.5,0,false,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A visual representation of habit formation process in scroll unfolding animation style. Shows a panda with various daily activities in sequential stages. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
OnboardingTextArea2,OnboardingContent,Node,,,文本区域2,0,-300,600,200,0.5,0.5,0,false,1,1,0,vertical,10,10,,,,,,,,,,,,,,,,,"N/A"
OnboardingTitle2,OnboardingTextArea2,Label,,,标题2,0,0,600,80,0.5,0.5,255,true,1,1,0,,,,32,#1A5F4A,center,none,36,,,,,,,,,,,"An elegant horizontal ink stroke suggesting a title area, with bamboo-inspired decorative elements. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
OnboardingDesc2,OnboardingTextArea2,Label,,,描述2,0,-100,600,120,0.5,0.5,255,true,1,1,0,,,,24,#333333,center,none,28,,,,,,,,,,,"Several horizontal ink strokes suggesting paragraph text, with varying lengths and subtle ink diffusion effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."

OnboardingImage3,OnboardingContent,Sprite,,onboarding_img3.png,情感支持插画,0,0,600,500,0.5,0.5,0,false,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A warm scene of panda interacting with user representation, with soft light effects and particles. The scene conveys emotional support and companionship. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
OnboardingTextArea3,OnboardingContent,Node,,,文本区域3,0,-300,600,200,0.5,0.5,0,false,1,1,0,vertical,10,10,,,,,,,,,,,,,,,,,"N/A"
